smiles,IC50(nM)
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(c1)C#N,550
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccc(cc1)C#N,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCCO,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCC(N)=O,10050
COC(=O)CCCCOc1cc(OCc2cccc(c2C)-c2ccccc2)ccc1CNCCNC(C)=O,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCCc1ccccc1,10050
COC(=O)c1cccc(COc2cc(OCc3cccc(c3C)-c3ccccc3)ccc2CNCCNC(C)=O)c1,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCCCO,10050
COC(=O)CCCOc1cc(OCc2cccc(c2C)-c2ccccc2)ccc1CNCCNC(C)=O,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(CO)c1,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccccc1CO,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccc(cc1)C(N)=O,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccc(cc1)C(C)=O,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccccc1S(C)(=O)=O,10050
COCCCOc1cc(OCc2cccc(c2C)-c2ccccc2)ccc1CNCCNC(C)=O,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccc(cc1)C(O)=O,239
CCOc1cc(OCc2cccc(c2C)-c2ccccc2)ccc1CNCCNC(C)=O,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccccc1C,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccc(cc1)C(C)(C)C,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccc(C)cc1,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccccc1F,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1c(F)cccc1F,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(F)c1,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(c1)C(F)(F)F,10050
